English Fairy Tales,Flora Annie Steel,QmZefu4AZ9uXCWNCNGqsoUCvdMHHRVXPnmajnhQHw5WujP
The Adventures of Tom Sawyer,Mark Twain,Qmf6h71A5ddDx6PjLj1vQjDxjhWp1GetpAE3KGALxeQVmh
Paradise Lost,John Milton,QmSG2v48aAYBDZ9xeguBDzeNJS53JCAh3dSxDegZ8AQ9xq
Frankenstein,Mary Shelley,QmY5oU9mkQSmMRVfpQt5gsKaSBBQER7KXuZ8bwrTUGDXx8
Thus Spake Zarathustra,Freidrich Nietzsche,QmeADf5mr37ibFq4nkFj2i13dQagod4tVKExvevTaEry8w
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,QmRxZJEMidjLhncy9UFAyej1KRZ3iyVqQEENiuNxAA4dnK
Dracula,Bram Stoker,QmUhmfddgqNVgaP7EaTt5vACpUXCGNV2uTvGNL3J3MP6qW
Adventures of Huckleberry Finn,Mark Twain,QmUHzKV6cBoV9gsZ4d6ApV7og2jfwooRzNuZAS7Fd66CUv
The Iliad,Homer,QmVypge4UuhbtTSQvWZbsuss7eEn7yvFQyQAtCqWfHMr6D
Grimm's Fairy Tales,Jacob Grimm and Wilhelm Grimm,QmZEPx5iooZ6q2JL9vQ8mPNgA1dMBGJEPNgBmcyW5MBAmZ
A Tale of Two Cities,Charles Dickens,QmPBtAJhZQEE8UbrGwAZDidjnNo2wDhsbsT4gFFnR35CgU
A Modest Proposal,Johnathan Swift,QmWHRRSbyDfAgNBTVQHEZMNZnDn2bZx7odLfMsVKSbhPNo
Pride and Prejudice,Jane Austen,QmRFcrjv9YKYrf7WCCPryK1HNLssCJA6hHUVACWYBSbxYY
Heart of Darkness,Joseph Conrad,QmTkS2RzkCzdc1tuqHZ4ZfH96n34hjAejWRnidW2wvGjPh
Adventures of Sherlock Holmes,Arthur Conan Doyle,QmV9kb552vyKKtqveSbKHFSmNbUYDLX3AenLuKDz5rJ9U8
Moby Dick,Herman Melville,QmezQAX1ur4bdv8MQZH89wUXXduTGKM8yd4ndcPBhYrMu4
Alice's Adventures in Wonderland,Lewis Carroll,QmTPnvQ7cCHhKsWLFSQj6aRoj4mgWgFjvagPmnSwAy9vVt
The Importance of Being Earnest,Oscar Wilde,QmXnSBzZ1AeAwaobS3W6cjpYsLdmoD9vgZ2Rt3xUdKDpDv
Beowulf,J. Lesslie Hall,Qmd13dhu6JwbepCfrD7RX7TQh5tKgJSwSEsKaLCzDtHwC2
Metamorphosi,Franz Kafka,QmWpyPann1h1cHimt6nJqYDhDg6CWaurfuczW2B5DCDUev
Jane Eyre: An Autobiography,Charlotte Bronte,QmUzYTp54RJBKf4rCoM5qB34LfCoCtv9Kh29Ljk3TN1pYM
The Souls of Black Folk,W. E. B. Du Bois,QmY395qT5xNpp3NufnY7cSWvTxtksd7p7axmaoTYN9Xru5
War and Peace,Leo Tolstoy,QmXxmWKvXKMBrUMmxnGvH4mTKXPHAotVGcuvWdayx8VJEE
The Scarlet Letter,Nathaniel Hawthorne,QmZEDR7qYYHqyjb7wfham86eUGyVFYHpnnMqPYNSR23WLX
The Count of Monte Cristo,Alexandre Dumas,QmXHKMNUWsZmQ4FJSfBKUspd4ZuXV2QkfA8j3eMBJPTYhm
